ID,Study,AgeinMonths,AgeCentered,AgeCat,AgeCatCentered,Gender,Race,Order,Original_FR_Judgment,Original_Con_Judgment,Original_FR_Preference,Original_Con_Preference,Original_FR_NoCostPunish,Original_Con_NoCostPunish,Original_FR_CostlyPunish,Original_Con_CostlyPunish,Original_FR_RewardDecision,Original_Con_RewardDecision,Original_FR_RewardGiven,Original_Con_RewardGiven,Comparison_FR_Judgment,Comparison_Con_Judgment,Comparison_FR_Preference,Comparison_Con_Preference,Comparison_FR_NoCostPunish,Comparison_Con_NoCostPunish,Comparison_FR_CostlyPunish,Comparison_Con_CostlyPunish,Comparison_FR_RewardDecision,Comparison_Con_RewardDecision,Comparison_FR_RewardGiven,Comparison_Con_RewardGiven
509,5,57,-31.34375,1,-1,0,1,1,1,4,1,4,1,0,1,0,0,1,0,3,1,4,1,4,1,1,1,1,0,1,0,3
510,5,58,-30.34375,1,-1,1,4,3,1,4,1,4,1,0,0,0,0,1,0,3,1,4,1,4,1,0,0,0,0,1,0,3
511,5,58,-30.34375,1,-1,0,1,6,1,4,1,4,1,0,1,0,0,1,0,3,1,4,1,4,1,0,1,0,0,1,0,2
512,5,59,-29.34375,1,-1,0,5,1,1,4,1,4,0,0,0,0,1,0,3,0,1,4,1,4,0,0,0,0,0,1,0,3
513,5,60,-28.34375,1,-1,0,4,3,1,4,1,4,0,0,0,0,0,1,0,3,1,4,1,4,1,0,1,0,0,1,0,3
514,5,66,-22.34375,1,-1,0,1,2,1,4,1,4,1,0,1,0,0,1,0,3,2,4,2,4,0,0,0,0,1,1,1,3
515,5,68,-20.34375,1,-1,0,4,5,1,4,1,4,0,0,0,0,1,1,1,3,1,4,1,4,0,0,0,0,1,1,1,3
516,5,70,-18.34375,1,-1,0,1,4,1,4,1,1,1,1,0,0,1,1,3,3,1,4,1,4,0,0,0,0,1,1,3,3
517,5,101,12.65625,2,1,1,1,7,2,3,3,4,1,0,0,0,0,1,0,3,2,4,3,4,0,0,1,0,0,1,0,3
518,5,108,19.65625,2,1,0,1,5,3,4,3,3,0,0,0,0,1,1,1,3,2,4,2,4,0,0,0,0,0,1,1,2
519,5,111,22.65625,2,1,0,4,6,1,4,1,4,1,0,1,0,1,1,1,3,1,4,1,4,1,0,1,0,1,1,1,2
520,5,112,23.65625,2,1,0,1,7,2,4,3,4,1,0,1,0,0,1,0,2,3,4,3,3,0,1,0,1,1,1,1,2
521,5,113,24.65625,2,1,1,1,3,1,4,2,3,1,0,1,0,0,1,1,2,2,4,1,4,1,0,0,0,0,1,1,2
522,5,116,27.65625,2,1,1,1,8,2,3,2,3,0,0,0,0,0,1,0,1,2,3,2,3,0,0,0,0,0,1,0,1
523,5,118,29.65625,2,1,1,2,6,3,4,3,3,1,0,1,0,1,1,1,2,2,3,3,3,1,0,1,0,1,1,1,2
524,5,118,29.65625,2,1,1,3,4,2,4,2,4,0,0,0,0,0,1,1,3,1,4,1,4,0,0,0,0,1,1,2,3
525,5,120,31.65625,2,1,0,1,2,2,4,2,4,0,0,0,0,1,1,1,3,2,4,2,4,0,0,0,0,1,1,1,3
526,5,121,32.65625,2,1,0,1,4,2,3,2,3,1,0,1,0,0,1,0,1,1,4,1,3,1,0,0,0,0,1,0,1
527,5,125,36.65625,2,1,1,1,2,2,4,2,3,1,0,1,0,0,1,0,1,2,3,2,3,1,0,1,0,0,1,0,1
528,5,125,36.65625,2,1,1,1,3,2,4,2,4,0,0,0,0,1,1,3,3,2,4,2,4,0,0,0,0,1,1,3,3
529,5,130,41.65625,2,1,1,1,1,3,4,3,4,0,0,0,0,1,1,2,3,3,4,3,4,1,0,1,0,1,1,1,3
530,5,130,41.65625,2,1,0,1,1,3,4,2,3,0,0,0,0,1,1,1,1,3,4,3,3,0,0,0,0,1,1,1,1
531,5,131,42.65625,2,1,0,1,8,2,4,2,3,1,0,0,0,0,1,0,2,2,3,3,3,0,0,0,0,1,1,1,2
532,5,132,43.65625,2,1,1,2,5,2,4,2,4,1,0,1,0,0,1,0,3,2,4,2,4,0,0,0,0,1,1,2,2
